timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-10 14:50:41,244700245,RAPIDE,Vrachtschip,"51.82874, 6.21332",afvaart,80,8
2025-12-10 14:52:13,244690659,,,"51.86200, 5.98423",opvaart,,
2025-12-10 14:56:42,211169950,,,"51.86080, 6.08649",afvaart,,
2025-12-10 14:57:22,244780245,VIA NOVA,Onbekend,"52.01516, 6.12806",afvaart,,1
2025-12-10 14:58:15,244013027,KEDIA,Vrachtschip,"52.10079, 6.21848",afvaart,80,9
2025-12-10 14:58:50,244690603,,,"51.85391, 6.08721",afvaart,,
2025-12-10 15:01:11,244672781,FIDUCIA,Tanker,"51.81909, 6.24663",opvaart,135,12
2025-12-10 15:02:48,244740107,MORDICUS,Onbekend,"51.82772, 6.22306",opvaart,70,7
2025-12-10 15:14:57,244890744,CUPIDO,Vrachtschip,"51.82638, 6.23171",opvaart,105,11
2025-12-10 15:17:12,244740148,PORTHOS,Vrachtschip,"51.90344, 6.00754",opvaart,85,10
2025-12-10 15:17:22,211439370,SCHLOSS CHAMBORD,Tanker,"51.85079, 6.13642",opvaart,110,12
2025-12-10 15:18:17,244620903,SPLENDID,Vrachtschip,"51.86249, 5.98415",opvaart,135,12
2025-12-10 15:22:39,244084297,HELENA CORA,Vrachtschip,"51.86242, 5.98373",opvaart,110,12
2025-12-10 15:24:41,305023300,,,"51.88131, 6.00558",,,
2025-12-10 15:25:37,211665160,GALAPAGOS,Onbekend,"51.83711, 6.17299",opvaart,110,12
2025-12-10 15:42:51,244700773,,,"51.85557, 6.08839",afvaart,,
2025-12-10 15:47:32,244660960,NAVARE,Onbekend,"51.89892, 6.00711",opvaart,,
2025-12-10 15:49:52,244218882,,,"51.86661, 5.98588",opvaart,,
2025-12-10 15:54:00,244630427,ROWAN,Tanker,"51.87377, 5.98214",opvaart,135,15
2025-12-10 15:55:19,244670181,SERVICE 3,Onbekend,"51.85343, 6.08958",opvaart,35,6
2025-12-10 15:58:22,244650731,ELMARE,Vrachtschip,"51.94270, 5.95978",opvaart,135,12
2025-12-10 15:59:10,244660404,MERCURY,Tanker,"51.88763, 5.71496",afvaart,86,12
2025-12-10 15:59:21,244733611,,,"51.86407, 5.98423",opvaart,,
2025-12-10 16:00:41,244371282,,,"51.85387, 6.08720",afvaart,,
2025-12-10 16:00:47,211735640,EILTANK 72,Tanker,"51.89546, 5.68226",opvaart,110,12
2025-12-10 16:01:45,211893910,,,"51.87015, 5.98515",opvaart,,
2025-12-10 16:03:30,211744610,,,"51.85366, 6.08679",afvaart,,
2025-12-10 16:08:53,205577790,DIANTHUS,Onbekend,"51.85068, 6.13845",opvaart,110,12
2025-12-10 16:10:15,244780707,,,"51.88146, 6.00547",,,
2025-12-10 16:10:48,211384990,ANCLAJO,Onbekend,"51.85399, 6.08706",afvaart,70,10
2025-12-10 16:11:02,244029495,JOHANNES SR,Vrachtschip,"51.82850, 6.21113",opvaart,110,11
2025-12-10 16:12:35,244690245,LEONORE,Onbekend,"52.16616, 6.31135",afvaart,80,9
2025-12-10 16:18:13,244660339,BASTA,Onbekend,"52.12931, 6.19190",opvaart,82,11
2025-12-10 16:19:55,244650881,CARONIA,Vrachtschip,"51.83034, 6.19927",opvaart,135,15
2025-12-10 16:20:28,211446560,SCHLOSS SCHOENBRUNN,Tanker,"51.82661, 6.22194",opvaart,110,12
