MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367005360,2020-06-14T00:01:33,29.57173,-90.59406,0.0,304.3,290.0,CREOLE LADY,IMO7216799,WDC3293,31,15,25,9,,,A
366739320,2020-06-14T00:00:41,25.60654,-80.24438,0.4,1.5,511.0,TALISMAN,,WCX7730,37,1,18,5,,,A
366046000,2020-06-14T00:00:10,47.62799,-122.38098,0.0,348.9,179.0,NORTHERN JAEGER,IMO7334826,WNBG,30,0,102,15,7.5,30,A
316043017,2020-06-14T00:01:34,48.76499,-123.32916,2.9,16.8,511.0,GADGETS,IMO0000000,,37,,11,4,,,B
369996000,2020-06-14T00:01:13,41.53538,-71.31395,0.0,285.4,511.0,TRANSPORTER,,,90,0,,,,99,A
338248598,2020-06-14T00:01:37,40.01683,-74.10409,0.0,360.0,196.0,SAYC - BBYRA,IMO0000000,,37,,6,2,,,B
367091160,2020-06-14T00:01:13,29.44335,-90.72060,6.2,6.8,3.0,MISS LIS,IMO8424836,WDC8673,31,11,22,8,,31,A
338161454,2020-06-14T00:00:22,43.91097,-69.37561,0.0,86.4,511.0,TOO ELUSIVE,,,60,,23,,,,B
367477330,2020-06-14T00:01:40,21.31264,-157.86675,0.1,348.7,511.0,VAK 3,,WDF6735,30,,20,6,,,B
367384020,2020-06-14T00:01:16,27.87571,-97.04417,0.0,288.0,511.0,BLESSED TRINITY,,WDE6725,31,0,22,9,,52,A
366995970,2020-06-14T00:00:56,29.36065,-94.90565,0.1,272.8,511.0,WALTER S,,WDC2647,31,5,17,6,,57,A
338362314,2020-06-14T00:02:04,33.59996,-117.89092,0.0,204.0,511.0,EVERGLADES,IMO0000000,,37,,10,4,,,B
367572970,2020-06-14T00:01:52,27.81960,-97.47216,0.0,330.2,107.0,TEE CENAC,,WDG7996,31,12,0,,,,A
316039229,2020-06-14T00:01:57,49.29181,-122.88878,0.2,135.2,511.0,REPOSADO,IMO0000000,CFA2949,37,,31,8,,,B
338071811,2020-06-14T00:01:45,32.71679,-117.21677,5.3,56.2,511.0,SHANTI,,,37,,,,,,B
367541370,2020-06-14T00:01:52,38.84958,-90.10914,0.0,265.9,511.0,BILLIE D MILLER,,WDG4910,31,0,14,,,,A
367748220,2020-06-14T00:01:44,29.40900,-94.82215,6.3,333.2,334.0,RYAN BAKER II,,WDI9395,31,0,25,7,,31,A
367145460,2020-06-14T00:01:46,40.30314,-124.89091,6.5,44.6,511.0,FISHWISH,IMO0000000,WDD4497,30,,26,7,,,B
338336315,2020-06-14T00:01:44,41.48002,-71.31700,0.0,360.0,511.0,A DOZEN BLUES,IMO0000000,,37,,13,3,,,B
367316740,2020-06-14T00:01:43,29.32004,-94.78545,0.1,302.2,58.0,GALVESTON BAY,,WDD9819,90,0,11,4,,90,A
338328233,2020-06-14T00:01:43,43.83086,-69.91502,0.0,360.0,511.0,TITAN,IMO0000000,,37,,16,8,,,B
338333641,2020-06-14T00:01:42,47.16516,-122.80903,0.0,171.8,511.0,SEA RANGER,IMO0000000,,37,,10,3,,,B
368007130,2020-06-14T00:01:42,29.69242,-89.96843,0.0,337.2,328.0,PATRICK CENAC,,WDJ7481,31,0,24,,,,A
