 fetch_ts_utc,timestamp_utc,timestamp_local,MMSI,NAME,CALLSIGN,IMO,TYPE,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,NAVSTAT,A,B,C,D,DRAUGHT,DEST,ETA
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.381823+00:00,2025-12-29T15:46:17.381823+01:00,246211000,CONDOR,PDTF,9685786,52,51.11599,4.30095,0,39.2,17,0,0,7,17,4,6,4,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.382328+00:00,2025-12-29T15:46:17.382328+01:00,211166010,SAMBA,DB3979,0,36,51.75852,3.85689,0,360,511,128,15,4,6,2,2,0,,07-03 22:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.382897+00:00,2025-12-29T15:46:17.382897+01:00,244780635,KON.WILLEM ALEXANDER,PG5130,0,69,52.36783,4.89364,0,360,511,128,0,4,15,1,3,0,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.383418+00:00,2025-12-29T15:46:17.383418+01:00,244740453,VOORST,PB3071,0,80,51.44945,4.23082,0,360,511,128,0,120,15,5,10,1.8,ANTWERPEN  INSTEEKDO,12-29 22:38
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.383958+00:00,2025-12-29T15:46:17.383958+01:00,205490770,NAIVES,OQ4907,0,37,51.23407,4.41454,0,360,511,128,15,14,1,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.384506+00:00,2025-12-29T15:46:17.384506+01:00,244136561,SKARA,PE7485,0,37,51.62689,4.25612,2.6,160.8,511,128,15,7,6,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.385021+00:00,2025-12-29T15:46:17.385021+01:00,244690570,TOERIST 6,,0,69,53.03323,5.66651,0,0,511,128,0,4,31,3,3,1,SND,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.385627+00:00,2025-12-29T15:46:17.385627+01:00,244650883,H2BARGE2,PD2945,0,79,51.88581,4.45287,0,66.2,511,128,0,100,12,7,18,0,ONBEKEND,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.386186+00:00,2025-12-29T15:46:17.386186+01:00,244810622,JANKE,PB3789,0,37,53.05504,5.40892,0,262.8,511,128,15,3,9,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.386707+00:00,2025-12-29T15:46:17.386707+01:00,205568590,BEETHOVEN,OT5685,0,80,51.9572,4.14727,0,68.8,308,0,5,122,13,4,14,2.7,CALANDKANAAL,12-28 00:27
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.387202+00:00,2025-12-29T15:46:17.387202+01:00,244148000,DELFSHAVEN,PDNY,8434013,90,51.905,4.3955,0,294,511,128,5,10,30,2,6,3,SCHIEDAM,10-06 14:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.387701+00:00,2025-12-29T15:46:17.387701+01:00,205280100,MAXIMUS,OS2801,0,37,51.2169,4.38534,0,360,511,128,15,11,0,1,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.388267+00:00,2025-12-29T15:46:17.388267+01:00,244650128,MARIAN,PE4220,0,79,52.58884,5.71077,0,0,0,0,5,0,83,4,4,0,9559NNLTL2931NTLTLTV,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.388773+00:00,2025-12-29T15:46:17.388773+01:00,244670307,ZAANPLUS,PD9540,0,99,52.41224,4.77308,0.8,153.6,511,128,0,22,8,4,1,2,AMSTERDAM,01-01 00:26
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.389263+00:00,2025-12-29T15:46:17.389263+01:00,205730000,VB SOUTHAMPTON,ORSQ,9816672,52,51.30746,4.27167,3.1,157.1,166,127,0,11,18,8,5,6.2,HARBOUR TOWAGE,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.389800+00:00,2025-12-29T15:46:17.389800+01:00,269057265,BARBARELLA,HE7265,0,60,53.20161,6.60208,0,301.2,511,128,0,30,80,7,5,1.5,GRONINGEN,11-01 12:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.390307+00:00,2025-12-29T15:46:17.390307+01:00,244770304,GRUTTE BEAR,PG6962,0,37,52.64015,5.08072,0,0,0,0,5,17,9,4,1,0.1,>>>>>>>>>>,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.390800+00:00,2025-12-29T15:46:17.390800+01:00,244013126,SVITZER TEMPEST,PDLP,9793076,52,52.41736,4.80721,0,3.5,196,0,0,13,15,5,5,4.8,AMS,02-01 09:00
