snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-12T19:18:50.969647+00:00,244078768,HILDA S,PF6761,0,89,0,51.81996,4.68009,8.5,89,511,128,30,5,4,3,0,,00-00 24:60,2026-01-12 19:15:45 GMT
2026-01-12T19:18:50.969647+00:00,244740114,ANTISANA,PG8778,0,79,5,51.88676,4.27767,0,154.4,511,128,70,15,6,4,1,,07-25 20:15,2026-01-12 19:15:04 GMT
2026-01-12T19:18:50.969647+00:00,211743670,LENA,DJ7883,0,79,0,51.85112,6.13743,0,360,511,128,70,15,8,2,3,HB-NORDENHAM-HB,00-00 24:60,2026-01-12 19:15:46 GMT
2026-01-12T19:18:50.969647+00:00,244820955,DR IR JOHAN VAN VEEN,PG3435,0,37,5,51.9702,5.34991,0,360,511,128,6,17,3,3,1.8,,00-00 00:00,2026-01-12 19:14:59 GMT
2026-01-12T19:18:50.969647+00:00,244850179,CATHARINA 7,PD 7857,0,52,5,51.89371,4.41157,0,360,511,128,23,0,3,3,2,HEYSEHAVEN,12-12 12:32,2026-01-12 19:13:06 GMT
2026-01-12T19:18:50.969647+00:00,244690573,AMPHIRO,PB2466,0,37,5,51.83193,4.55406,0,360,511,128,14,8,3,3,1.8,BARENDRECHT,08-24 18:00,2026-01-12 19:14:03 GMT
2026-01-12T19:18:50.969647+00:00,244780976,RVE 33,PD5134,0,33,0,51.96018,4.0117,0,124.9,511,128,12,10,3,2,0.2,ROTTERDAM,00-00 24:60,2026-01-12 19:14:30 GMT
2026-01-12T19:18:50.969647+00:00,253678000,TROY,LXTY,9327205,80,0,51.88122,4.34823,0,139.6,345,0,69,24,5,9,5.5,NLRTM > NLRTM,01-12 19:00,2026-01-12 19:15:39 GMT
2026-01-12T19:18:50.969647+00:00,244260867,PAX,PI4278,0,37,5,51.9733,5.84377,0,360,511,128,28,5,2,4,1.5,OOSTERBEEK,00-00 00:00,2026-01-12 19:13:53 GMT
2026-01-12T19:18:50.969647+00:00,244730231,HEBO-CAT 9,PB9278,0,33,5,51.87151,4.31058,0,360,511,128,35,5,4,5,1.9,ROTTERDAMPPPP,12-18 14:16,2026-01-12 19:06:02 GMT
2026-01-12T19:18:50.969647+00:00,244180219,LIBERTY,PB9127,0,37,15,51.89517,4.21846,0,249.1,511,128,4,6,1,1,0,,00-00 00:00,2026-01-12 19:13:17 GMT
2026-01-12T19:18:50.969647+00:00,244740681,ARGONON,PG4499,0,80,5,51.8827,4.45462,0,360,511,128,118,17,9,8,4,ROTTERDAM 3E PETROHA,01-08 22:58,2026-01-12 19:13:08 GMT
2026-01-12T19:18:50.969647+00:00,211748260,EILTANK 245,DG7034,0,80,5,51.82584,4.72056,0,360,511,128,100,10,8,4,2.4,PAPENDRECHT  KETELHA,01-10 16:28,2026-01-12 19:13:06 GMT
2026-01-12T19:18:50.969647+00:00,244670934,CRANE BARGE 5,PH2511,0,99,5,51.88846,4.41893,0,360,511,128,34,8,5,1,0.2,ROTTERDAM,00-00 00:00,2026-01-12 19:14:18 GMT
2026-01-12T19:18:50.969647+00:00,244090691,AGUILA,PF7342,0,37,15,51.81991,4.76937,0,229.3,511,128,10,7,2,3,0,,00-00 00:00,2026-01-12 19:14:56 GMT
2026-01-12T19:18:50.969647+00:00,244740814,INVOTIS VII,PG7308,0,79,0,51.88173,4.26431,0,360,511,128,37,5,3,6,0,,00-00 00:00,2026-01-12 19:15:29 GMT
2026-01-12T19:18:50.969647+00:00,244690411,SCHIEPLUS,PB4611,0,80,0,51.94921,4.14885,0,360,511,128,30,5,2,5,0,BUNKEREN ROTTERDAM,12-31 00:00,2026-01-12 19:13:03 GMT
2026-01-12T19:18:50.969647+00:00,244084742,DILIANTO,PB3089,0,37,15,51.90325,4.55711,0,349.3,511,128,5,10,2,2,0.2,,07-01 18:00,2026-01-12 19:15:26 GMT
2026-01-12T19:18:50.969647+00:00,244730092,ZEESTER,PI3283,0,69,0,51.84935,5.87133,0,360,511,128,29,6,5,1,20,NIJME,03-09 17:00,2026-01-12 19:15:32 GMT
2026-01-12T19:18:50.969647+00:00,269057555,AMAVIOLA,HE7555,0,69,0,51.91346,5.44562,6.9,139.1,511,128,135,0,5,7,1.6,DUISBURG,01-13 07:00,2026-01-12 19:15:47 GMT
2026-01-12T19:18:50.969647+00:00,244103100,MSTX 31,PB3349,0,69,5,51.90372,4.48447,0.1,360,511,128,4,8,8,1,0.5,VEERDIENST RDM,10-13 18:15,2026-01-12 19:13:15 GMT
2026-01-12T19:18:50.969647+00:00,244730834,ZUIDENWIND,PD8549,0,79,5,51.89633,4.42566,0,343.5,248,0,91,0,0,11,0.1,WAALHAVEN 2,01-12 18:33,2026-01-12 19:15:24 GMT
2026-01-12T19:18:50.969647+00:00,244750496,ANNA MARIE,PD6449,0,52,5,51.88412,4.27269,0,25.9,511,128,5,12,6,1,3.1,HARDINXVELD,12-30 21:00,2026-01-12 19:14:19 GMT
2026-01-12T19:18:50.969647+00:00,211469960,EILTANK 67,DH 2347,0,20,5,51.89362,4.23018,0,360,511,128,74,12,3,6,0,VOPAK EUROPOORT,01-07 12:00,2026-01-12 19:13:20 GMT
2026-01-12T19:18:50.969647+00:00,244670805,SPERANZA,PF6554,0,99,5,51.82064,4.76731,0,343,299,0,94,16,2,9,0,,00-00 00:00,2026-01-12 19:13:07 GMT
2026-01-12T19:18:50.969647+00:00,244032246,MRD -PATROL,PG7143,0,53,0,51.88399,4.45568,0,360,511,128,7,8,2,2,0,,00-00 24:60,2026-01-12 19:15:44 GMT
2026-01-12T19:18:50.969647+00:00,244830909,MARIA HELENA,PB2400,0,37,15,51.9055,4.16783,0,0,0,128,9,9,2,2,0.8,,09-17 22:00,2026-01-12 19:14:27 GMT
2026-01-12T19:18:50.969647+00:00,211274030,FRIEDRICH RUECKERT,DC4933,0,89,5,51.90301,5.54418,0,360,511,128,94,16,3,8,1.7,ANTWERPEN,01-11 12:00,2026-01-12 19:13:46 GMT
2026-01-12T19:18:50.969647+00:00,244700124,SMIT WAALHAVEN 24,PH9643,0,33,12,51.89767,4.41462,0,231.4,511,128,33,12,9,1,1.5,ROTTERDAM,01-01 00:26,2026-01-12 19:15:39 GMT
2026-01-12T19:18:50.969647+00:00,244670989,ALINA,PD3089,0,79,0,51.95066,4.12559,0,360,511,128,103,0,5,5,3.4,MOERDIJK,01-08 17:57,2026-01-12 19:14:14 GMT
2026-01-12T19:18:50.969647+00:00,244780230,ALLIANTIE,PA3011,0,79,0,51.80704,4.5947,8.5,281.9,511,128,73,12,4,6,0,HARDINXVELD,00-00 24:60,2026-01-12 19:15:42 GMT
2026-01-12T19:18:50.969647+00:00,211217320,CHRISTA,DA8554,0,20,5,51.88556,4.28083,0.1,194.1,511,128,105,0,10,0,1.3,RDAM,01-03 15:00,2026-01-12 19:11:44 GMT
2026-01-12T19:18:50.969647+00:00,244925209,DEVEL,PD2392,0,69,0,51.80372,4.62867,0,360,511,128,11,20,2,6,1.4,ROTTERDAM,00-00 24:60,2026-01-12 19:15:44 GMT
2026-01-12T19:18:50.969647+00:00,244660959,PONTIAC,PG3117,0,79,0,51.81798,4.76381,0,48.2,511,128,86,14,8,2,2.5,LEER,05-31 00:00,2026-01-12 19:15:46 GMT
2026-01-12T19:18:50.969647+00:00,244700532,DWS 15,PG7871,0,99,0,51.89724,4.46094,0,360,511,128,19,6,1,5,0,,00-00 00:00,2026-01-12 19:15:41 GMT
2026-01-12T19:18:50.969647+00:00,205567490,POROS,OT5674,0,99,5,51.95811,4.01217,0,360,85,0,123,12,7,11,0,PRINSES AMALIAHAVEN,01-08 06:09,2026-01-12 19:14:59 GMT
2026-01-12T19:18:50.969647+00:00,244660107,GERDA,PF9866,0,79,0,51.87881,5.76852,5.1,105.7,104,0,100,10,4,8,2,DUISBURG,01-13 14:06,2026-01-12 19:15:43 GMT
2026-01-12T19:18:50.969647+00:00,246543000,VB TIGER,PITN,9454888,52,0,51.95119,4.14477,0,11.4,218,0,10,23,6,7,5.3,ROTTERDAM,09-08 20:00,2026-01-12 19:15:30 GMT
2026-01-12T19:18:50.969647+00:00,269057506,AVALON TRANQUILITYII,HE7506,0,69,5,51.8269,4.72162,0,334.9,272,0,1,109,6,6,1.8,PAPENDRECHT,01-05 06:30,2026-01-12 19:14:45 GMT
2026-01-12T19:18:50.969647+00:00,244710302,REGENBOOG,PD3311,0,79,0,51.90036,5.58966,10.1,280.2,511,128,76,10,4,8,0,POT MET GOUD,05-21 20:00,2026-01-12 19:15:42 GMT
2026-01-12T19:18:50.969647+00:00,244620196,VOLTERRA,PF3175,0,80,5,51.9434,4.17544,0,360,511,128,123,12,6,9,2,ROTTERDAM 7E PETROHA,01-06 19:37,2026-01-12 19:07:06 GMT
2026-01-12T19:18:50.969647+00:00,244004346,P63,PA3923,0,55,5,51.98648,5.0628,0,41,139,0,11,10,3,3,0,SURVEILLANCE,00-00 24:60,2026-01-12 19:14:53 GMT
2026-01-12T19:18:50.969647+00:00,244790091,SC ROTTERDAM,PCTW,9656462,49,5,51.97749,4.12408,0,310.1,207,0,19,12,3,3,1.4,NLRTM,12-05 17:00,2026-01-12 19:11:47 GMT
2026-01-12T19:18:50.969647+00:00,563244800,ONE HARBOUR,9VAT9,9302152,71,5,51.9479,4.05241,0,284.3,258,0,244,92,30,16,10.5,DE HAM,01-19 22:30,2026-01-12 19:13:20 GMT
2026-01-12T19:18:50.969647+00:00,244670997,WATERBOOT  10,PF2118,0,99,5,51.88897,4.31379,0,360,511,128,28,7,3,3,2,,00-00 00:00,2026-01-12 19:13:31 GMT
2026-01-12T19:18:50.969647+00:00,244710094,CYGNUS,PI3506,0,79,5,51.89705,4.48803,0,0,511,128,11,74,4,5,0.3,ANTWERPEN,01-13 11:49,2026-01-12 19:12:55 GMT
